Date,Close,High,Low,Open,Volume
1993-01-29,24.526086807250977,24.54353068122484,24.4214235634078,24.54353068122484,1003200
1993-02-01,24.70053482055664,24.70053482055664,24.54353989584971,24.54353989584971,480500
1993-02-02,24.752851486206055,24.77029535617519,24.63074439642209,24.683076006329504,201300
1993-02-03,25.014495849609375,25.03193971003449,24.770281803657817,24.787725664082927,529400
1993-02-04,25.11918067932129,25.17151230573654,24.822634796301525,25.10173680384954,531500
1993-02-05,25.101715087890625,25.15404666903286,24.962164204844676,25.10171508789063,492100
1993-02-08,25.101715087890625,25.188934389794348,25.06682736712914,25.10171508789063,596100
1993-02-09,24.92728614807129,25.014505483788824,24.87495454664077,25.014505483788824,122100
1993-02-10,24.962173461914062,24.97961732876376,24.85751026081589,24.92728572821467,379600
1993-02-11,25.084278106689453,25.18894129767703,24.99705878086647,24.99705878086647,19500
1993-02-12,24.89240074157715,25.049395560549954,24.89240074157715,25.049395560549954,42500
1993-02-16,24.264421463012695,24.822625263743397,24.22953372546703,24.822625263743397,374800
1993-02-17,24.24698257446289,24.29931419153008,24.159763212684247,24.26442644681862,210900
1993-02-18,24.22953987121582,24.526085715571952,23.898106280464848,24.526085715571952,378100
1993-02-19,24.31675720214844,24.31675720214844,24.19465009998557,24.229537843460676,34900
1993-02-22,24.403972625732425,24.438860363581934,24.31675328110865,24.386528756807667,513600
1993-02-23,24.38652801513672,24.49119122550211,24.264420936377093,24.47374735710788,373700
1993-02-24,24.70053482055664,24.70053482055664,24.403988851665776,24.403988851665776,26300
1993-02-25,24.752851486206055,24.77029535617519,24.63074439642209,24.683076006329504,44500
1993-02-26,24.78772735595703,24.805171217572767,24.6656203246469,24.805171217572767,66200
1993-03-01,24.71795654296875,24.874951326939616,24.683068813197448,24.874951326939616,66500
1993-03-02,25.084278106689453,25.08427810668945,24.700513073068333,24.735400803397525,182400
1993-03-03,25.188953399658203,25.20639727320367,25.084290158385382,25.11917790547632,280100
1993-03-04,25.049402236938477,25.223840971179,25.04940223693848,25.223840971179,89500
1993-03-05,24.979623794555664,25.18895025093462,24.96217992319075,25.08428702274514,40000
1993-03-08,25.53781509399414,25.53781509399414,25.03194307368961,25.03194307368961,50800
1993-03-09,25.450593948364254,25.502925532905103,25.398262363823413,25.48548167139149,169300
1993-03-10,25.5029239654541,25.5029239654541,25.34592922148072,25.45059238412964,194400
1993-03-11,25.433149337768555,25.590144086767125,25.39826161576887,25.52036864276776,70900
1993-03-12,25.17149353027344,25.241268980114807,25.01449876813036,25.223825117654464,643600
1993-03-15,25.293617248535156,25.293617248535156,25.1540662568191,25.1540662568191,310800
1993-03-16,25.293617248535156,25.363392744393185,25.293617248535156,25.293617248535156,30800
1993-03-17,25.13661193847656,25.25871900549206,25.10172420504356,25.25871900549206,21800
1993-03-18,25.293617248535156,25.398280492322197,25.24128562664163,25.24128562664163,59300
1993-03-19,25.25532913208008,25.395539148080523,25.25532913208008,25.395539148080523,66900
1993-03-22,25.11511611938477,25.16769486911132,24.9924323700228,25.009958619931652,183400
1993-03-23,25.167701721191406,25.202754230552397,25.132649211830415,25.1852279758719,55200
